username,day_of_week,start_time,end_time
816031011,1,12:00:00,16:00:00
816031011,1,16:00:00,20:00:00
816031011,3,16:00:00,20:00:00
816031011,4,12:00:00,16:00:00
816031012,0,12:00:00,16:00:00
816031012,2,08:00:00,12:00:00
816031012,2,12:00:00,16:00:00
816031013,0,12:00:00,16:00:00
816031013,0,16:00:00,20:00:00
816031013,1,12:00:00,16:00:00
816031013,2,08:00:00,12:00:00
816031013,3,12:00:00,16:00:00
816031013,3,16:00:00,20:00:00
816031013,4,08:00:00,12:00:00
816031013,4,12:00:00,16:00:00
816031013,4,16:00:00,20:00:00
816031014,1,16:00:00,20:00:00
816031014,2,08:00:00,12:00:00
816031014,3,08:00:00,12:00:00
816031014,5,08:00:00,12:00:00
816031015,4,16:00:00,20:00:00
816031015,5,12:00:00,16:00:00
816031015,5,16:00:00,20:00:00
816031016,0,08:00:00,12:00:00
816031016,0,12:00:00,16:00:00
816031016,1,12:00:00,16:00:00
816031016,2,12:00:00,16:00:00
816031016,3,08:00:00,12:00:00
816031016,3,12:00:00,16:00:00
816031016,4,08:00:00,12:00:00
816031016,4,12:00:00,16:00:00
816031017,3,08:00:00,12:00:00
816031017,3,12:00:00,16:00:00
816031017,4,08:00:00,12:00:00
816031017,4,12:00:00,16:00:00
816031017,5,08:00:00,12:00:00
816031017,5,12:00:00,16:00:00
816031017,5,16:00:00,20:00:00
816031018,0,12:00:00,16:00:00
816031018,0,16:00:00,20:00:00
816031018,1,16:00:00,20:00:00
816031018,2,08:00:00,12:00:00
816031018,2,12:00:00,16:00:00
816031018,2,16:00:00,20:00:00
816031018,3,12:00:00,16:00:00
816031018,4,08:00:00,12:00:00
816031018,5,08:00:00,12:00:00
816031018,5,12:00:00,16:00:00
816031018,5,16:00:00,20:00:00
816031019,0,12:00:00,16:00:00
816031019,1,12:00:00,16:00:00
816031019,3,12:00:00,16:00:00
816031020,2,12:00:00,16:00:00
816031020,3,16:00:00,20:00:00
816031020,5,08:00:00,12:00:00
816031020,5,12:00:00,16:00:00
816031020,5,16:00:00,20:00:00
816031021,0,16:00:00,20:00:00
816031021,2,08:00:00,12:00:00
816031021,2,12:00:00,16:00:00
816031021,3,08:00:00,12:00:00
816031021,3,12:00:00,16:00:00
816031021,4,08:00:00,12:00:00
816031021,4,12:00:00,16:00:00
816031022,0,16:00:00,20:00:00
816031022,1,12:00:00,16:00:00
816031022,2,12:00:00,16:00:00
816031022,2,16:00:00,20:00:00
816031022,3,12:00:00,16:00:00
816031022,4,12:00:00,16:00:00
816031023,1,12:00:00,16:00:00
816031023,1,16:00:00,20:00:00
816031023,2,16:00:00,20:00:00
816031023,3,12:00:00,16:00:00
816031023,3,16:00:00,20:00:00
816031023,4,12:00:00,16:00:00
816031023,5,08:00:00,12:00:00
816031023,5,12:00:00,16:00:00
816031023,5,16:00:00,20:00:00
816031024,0,12:00:00,16:00:00
816031024,1,08:00:00,12:00:00
816031025,0,08:00:00,12:00:00
816031025,0,12:00:00,16:00:00
816031025,0,16:00:00,20:00:00
816031025,1,16:00:00,20:00:00
816031026,0,12:00:00,16:00:00
816031026,2,12:00:00,16:00:00
816031026,3,12:00:00,16:00:00
816031026,4,12:00:00,16:00:00
